Entity,Code,Year,Oil Consumption - TWh
Belgium,BEL,2015,361.5311279296875
Belgium,BEL,2016,367.02947998046875
Belgium,BEL,2017,373.1283874511719
Belgium,BEL,2018,395.07672119140625
Belgium,BEL,2019,369.91650390625
Belgium,BEL,2020,320.1324157714844
Belgium,BEL,2021,361.2151184082031
Brazil,BRA,1965,177.73057556152344
Brazil,BRA,1966,193.79759216308594
Brazil,BRA,1967,199.99172973632812
Brazil,BRA,1968,240.19615173339844
Brazil,BRA,1969,263.5677185058594
Brazil,BRA,1970,298.2182312011719
Brazil,BRA,1971,328.594970703125
Brazil,BRA,1972,377.9779052734375
Brazil,BRA,1973,465.3315734863281
Brazil,BRA,1974,501.839599609375
Brazil,BRA,1975,518.0452270507812
Brazil,BRA,1976,560.344970703125
Brazil,BRA,1977,573.119873046875
Brazil,BRA,1978,623.4551391601562
Brazil,BRA,1979,655.138916015625
Brazil,BRA,1980,632.6500854492188
Brazil,BRA,1981,603.608154296875
Brazil,BRA,1982,611.8712158203125
Brazil,BRA,1983,580.8929443359375
Brazil,BRA,1984,587.9967041015625
Brazil,BRA,1985,596.71240234375
Brazil,BRA,1986,658.979736328125
Brazil,BRA,1987,678.0477905273438
Brazil,BRA,1988,689.933349609375
Brazil,BRA,1989,695.1901245117188
Brazil,BRA,1990,686.5703735351562
Brazil,BRA,1991,694.3108520507812
Brazil,BRA,1992,748.690673828125
Brazil,BRA,1993,778.7887573242188
Brazil,BRA,1994,831.3272094726562
Brazil,BRA,1995,867.7439575195312
Brazil,BRA,1996,923.1091918945312
Brazil,BRA,1997,992.3386840820312
Brazil,BRA,1998,1034.4356689453125
Brazil,BRA,1999,1050.22900390625
Brazil,BRA,2000,1035.3809814453125
Brazil,BRA,2001,1052.5447998046875
Brazil,BRA,2002,1033.237060546875
Brazil,BRA,2003,1001.7147827148438
Brazil,BRA,2004,1033.4329833984375
Brazil,BRA,2005,1054.9578857421875
Brazil,BRA,2006,1075.5438232421875
Brazil,BRA,2007,1118.2001953125
Brazil,BRA,2008,1166.3289794921875
Brazil,BRA,2009,1157.077392578125
Brazil,BRA,2010,1264.8148193359375
Brazil,BRA,2011,1342.0013427734375
Brazil,BRA,2012,1388.8101806640625
Brazil,BRA,2013,1462.60498046875
Brazil,BRA,2014,1511.8642578125
Brazil,BRA,2015,1372.997802734375
Brazil,BRA,2016,1304.36669921875
Brazil,BRA,2017,1318.897216796875
Brazil,BRA,2018,1252.9573974609375
Brazil,BRA,2019,1260.16162109375
Brazil,BRA,2020,1171.613525390625
Brazil,BRA,2021,1237.8758544921875
Bulgaria,BGR,1965,43.71547317504883
Bulgaria,BGR,1966,49.874107360839844
Bulgaria,BGR,1967,62.722450256347656
Bulgaria,BGR,1968,74.3381118774414
Bulgaria,BGR,1969,91.2787857055664
Bulgaria,BGR,1970,106.03924560546875
Bulgaria,BGR,1971,116.62911987304688
Bulgaria,BGR,1972,121.28457641601562
Bulgaria,BGR,1973,127.88813781738281
Bulgaria,BGR,1974,132.9870147705078
Bulgaria,BGR,1975,140.96090698242188
Bulgaria,BGR,1976,146.48643493652344
Bulgaria,BGR,1977,152.2866973876953
Bulgaria,BGR,1978,156.7978515625
Bulgaria,BGR,1979,161.5599365234375
