Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,CAN,Urban population,SP.URB.TOTL,12368141,12729040,13121753,13522659,13934678,14343688,14763748,15136519,15487885,15804855,16132459,16710910,16879589,17060238,17272703,17498862,17705309,17923214,18112108,18301934,18549289,18791654,19057229,19287381,19511294,19731489,19967235,20237468,20506939,20883649,21206427,21482271,21813814,22130869,22450573,22760570,23081461,23428320,23739358,24048329,24388404,24757782,25052940,25304780,25566897,25834340,26126316,26441461,26789863,27158023,27522537,27847821,28166078,28479640,28781576,29011826,29357013,29729597,30175132,30631841,30997832
China,CHN,Urban population,SP.URB.TOTL,108085352,110327936,114685540,121162226,127791981,129348359,131746910,134196718,136747486,139527262,142386810,145443877,148131235,151552570,155688522,159452730,162497601,165293316,171153535,180399661,189947471,199949784,210823843,220472140,230206255,240414890,251325056,262976051,275121076,287504237,300165618,314301034,328521540,342961393,357836540,373035157,388593258,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,678933504,699187267,719587859,740239259,761027100,782199374,803554542,823827650,842933962,861289359
Germany,DEU,Urban population,SP.URB.TOTL,51978188,52609561,53122383,53664331,54147106,54659677,55166778,55468832,55765529,56259360,56496072,56645245,56961784,57186457,57253758,57085531,56885943,56801863,56796181,56865826,57028530,57229147,57267174,57114118,56792461,56485448,56438249,56695484,57044790,57469536,58079842,58625381,59146205,59647492,60028206,60378049,60725922,60986289,61167004,61376500,61629857,61902439,62174878,62376854,62529997,62660267,62753557,62833410,62875807,62877220,62940432,61940177,62064608,62242278,62510392,63062064,63592936,63861626,64096118,64294010,64472284
France,FRA,Urban population,SP.URB.TOTL,28849501,29575876,30414329,31433929,32441971,33413444,34337825,35216563,35944653,36427404,36918577,37424022,37937158,38445788,38934759,39330005,39578997,39798466,40001631,40205365,40423458,40659218,40911632,41177475,41450444,41726189,42005649,42289350,42572025,42846777,43127042,43467989,43785893,44077092,44342929,44604031,44863819,45123543,45390690,45743981,46214923,46709572,47206862,47699496,48209409,48730237,49228312,49690036,50127509,50547195,50961405,51373808,51791148,52228059,52647802,53009026,53323902,53654868,53979477,54275936,54570334
United Kingdom,GBR,Urban population,SP.URB.TOTL,41104656,41381472,41661202,41900114,42098400,42294196,42452048,42603817,42733856,42833742,42925829,43056861,43295638,43470962,43590038,43677888,43757644,43833733,43925435,44054299,44195960,44271630,44228171,44215089,44257473,44329755,44404206,44470325,44540723,44628280,44733264,44855736,45011752,45154426,45304828,45459651,45610451,45762480,45931122,46119137,46319551,46557334,46930583,47323791,47767769,48269624,48798541,49351705,49913475,50463084,51030310,51600211,52130345,52650595,53209683,53802927,54382825,54923317,55426598,55909924,56395647
India,IND,Urban population,SP.URB.TOTL,80756165,82882675,85456483,88127852,90901311,93760317,96712771,99765995,102932969,106238157,109705504,113522496,118082741,122837876,127793753,132920311,138219074,143699555,149379784,155285822,161444126,167521705,173152674,178956141,184906540,190975976,197165615,203469686,209894840,216442440,223096279,229752406,236274336,242896347,249629427,256470882,263440889,270523260,277707329,284978105,292322757,300118526,308796506,317584393,326495070,335503761,344622641,353850624,363154576,372465918,381763164,391040056,400416922,409907903,419567353,429428650,439501314,449795398,460304169,471031529,481980332
Italy,ITA,Urban population,SP.URB.TOTL,29799044,30249038,30708292,31188380,31702827,32227841,32737193,33233152,33703021,34152929,34592379,35012585,35369083,35720365,36065654,36393136,36687131,36955192,37198851,37418639,37607540,37764025,37819718,37822134,37819273,37818886,37809627,37802166,37809110,37826147,37846480,37861339,37907512,37964793,38006634,38041344,38086153,38140443,38185563,38226137,38277624,38333314,38447500,38686985,39006818,39267369,39454178,39722857,40056298,40308358,40502481,40641670,40894259,41548775,42109853,42247229,42351339,42462869,42559879,42249963,42306582
Japan,JPN,Urban population,SP.URB.TOTL,58979628,60395537,61843154,63355376,64897877,66476104,67914591,69431886,71026895,72679753,74322974,76805782,78731730,80682335,82593959,84478613,85645846,86544997,87402828,88213150,88977732,89743575,90498578,91261504,91987180,92696479,93340695,93946744,94492929,95025267,95496650,96038630,96566243,97049554,97489878,97888236,98272808,98667335,99095072,99434460,99760751,101706485,104055019,106256267,108136910,109856670,111383848,112827761,114107975,115228215,116302928,116416235,116331281,116262976,116208079,116182717,116145370,116053379,115920900,115782416,115494817
"Korea, Rep.",KOR,Urban population,SP.URB.TOTL,6930929,7351204,7811004,8289479,8779189,9286249,9815880,10537106,11362681,12225296,13123306,13896560,14639182,15391092,16159311,16946391,17823527,18743336,19679806,20636698,21623805,22617087,23619800,24621925,25577374,26473134,27480866,28537079,29585374,30626132,31656393,32459655,33169705,33872973,34575766,35280305,35810625,36259672,36633453,37006183,37428328,37867709,38258247,38626122,38947802,39195731,39490771,39740941,40093884,40351067,40602657,40909592,41089082,41240244,41463573,41645542,41774264,41861498,42038247,42106719,42156641
United States,USA,Urban population,SP.URB.TOTL,126462473,129276215,131988693,134615404,137215986,139663053,142008703,144288757,146463196,148629124,150922373,152865492,154531732,156034954,157488501,159070594,160611122,162256678,164005080,165847531,167551171,169552427,171528659,173459636,175321738,177239105,179244877,181215212,183232441,185333919,187966119,191509147,195199459,198806845,202278113,205718394,209146726,212694273,216206090,219721677,223069137,225792302,228400290,230876596,233532722,236200507,238999326,241795278,244607104,247276259,249849720,252208133,254614421,256953576,259430732,261950744,264473000,266788716,268844029,270737596,272364755
